Hogwarts House,theta_values
Ravenclaw,"[-0.04406599 -0.05219646  0.03865975  0.05227599  0.02347401  0.0764139
  0.04341494  0.02229015  0.00601938  0.0741321  -0.01326211]"
Slytherin,"[-0.06159491 -0.03695353 -0.04109291  0.03692384 -0.06827795 -0.01915499
 -0.02664276  0.01597306  0.00202107 -0.02603938 -0.03423889]"
Gryffindor,"[-0.05838441  0.03341977 -0.04419101 -0.03329456  0.01648724 -0.02094765
  0.03097272 -0.06767966 -0.01946468 -0.04128302  0.06714109]"
Hufflepuff,"[-0.03345171  0.05572819  0.04662422 -0.05590323  0.02831714 -0.0363085
 -0.04774112  0.02941588  0.01142396 -0.00680788 -0.01963963]"
